1906 8.3
1911 6.6
1923 7.2
1925 6.3
1926 6.1
1927 7.7
1933 6.3
1940 6.7
1952 7.8
1968 6.4
1971 6.4
1979 6.4
1980 7.0
1983 6.5
1984 6.2
1986 6.0
1987 5.9
1989 7.1
1991 7.1
1992 6.9
